report,gold_idx,out_idx,choice_p,any_p,choice_confidence,level,gold_pot,out_pot,gold_typ,out_typ,gold_quote,out_quote
old_rep_1,0,0,0.970,0.840,0.960,same,Roman ware,Pottery,,,"Ze waren verspreid over eene groote uitgestrektheid en v/ijzen er op, dat'daar ter plaatse in de eerste
eeuwen onzer jaa","Bij het afgraven van grond in het groot
weiland, dat ten Zuiden ligt van de straat, die naar
bet gehuchtje „Op den Heuke"
old_rep_1,1,1,0.910,0.970,0.870,same,Terra sigillata,Terra sigillata,,,"Ze waren verspreid over eene groote uitgestrektheid en v/ijzen er op, dat'daar ter plaatse in de eerste
eeuwen onzer jaa","Eenige kenmerkende scherven, waaronder een drietal
van terra sigillata, zijn overgedaan aan het Museum
van het Geschied-"
old_rep_2,0,1,0.980,0.960,0.970,same,Terra sigillata,Terra sigillata,,,Bij het graven van een wetering kwamen Romeinse vondsten aan het licht.,"Het
betreft hier:
AARDEWERK: terra sigillata, Belgisch aardewerk, gevernist aardewerk, gladwandig aardewerk en
ruwwandig"
old_rep_2,5,6,0.980,0.820,0.970,same,Terra sigillata,Sherd with stamp,,,"De oudste vondst was toen een scherf met het stempel van de Italiaanse pottenbakker „Cnaeus Ateius"", die tot uiterlijk 2","De
oudste vondst was
toen een
scherf
met het stempel van de Italiaanse pottenbakker
„Cnaeus Ateius"", die tot
uiterlijk 2"
old_rep_2,3,4,0.960,0.910,0.950,same,Smooth-walled ware,Smooth-walled pottery,,,Bij het graven van een wetering kwamen Romeinse vondsten aan het licht.,"Het
betreft hier:
AARDEWERK: terra sigillata, Belgisch aardewerk, gevernist aardewerk, gladwandig aardewerk en
ruwwandig"
old_rep_2,4,5,0.880,0.640,0.860,same,Coarse ware,Rough-walled pottery,,,Bij het graven van een wetering kwamen Romeinse vondsten aan het licht.,"Het
betreft hier:
AARDEWERK: terra sigillata, Belgisch aardewerk, gevernist aardewerk, gladwandig aardewerk en
ruwwandig"
old_rep_2,1,,,0.810,0.400,missing,Belgic ware,,,,Bij het graven van een wetering kwamen Romeinse vondsten aan het licht.,
old_rep_2,2,,,0.250,0.390,missing,Colour-coated ware,,,,Bij het graven van een wetering kwamen Romeinse vondsten aan het licht.,
old_rep_2,6,,,0.460,0.490,missing,Pottery,,,,Verder waren er scherven uit het midden van dezelfde eerste eeuw na Christus.,
old_rep_2,,0,,,,overclaim,,Pottery,,,,"Het
betreft hier:
AARDEWERK: terra sigillata, Belgisch aardewerk, gevernist aardewerk, gladwandig aardewerk en
ruwwandig"
old_rep_2,,2,,,,overclaim,,Belgian pottery,,,,"Het
betreft hier:
AARDEWERK: terra sigillata, Belgisch aardewerk, gevernist aardewerk, gladwandig aardewerk en
ruwwandig"
old_rep_2,,3,,,,overclaim,,Varnished pottery,,,,"Het
betreft hier:
AARDEWERK: terra sigillata, Belgisch aardewerk, gevernist aardewerk, gladwandig aardewerk en
ruwwandig"
old_rep_3,1,2,0.870,0.730,0.840,same,Handmade pottery,Bowl,,,een kom van handgemaakt aardewerk waarvoor rechtstreekse parallellen alleen in noord-Nederland te vinden zijn. Zij zijn ,kom van handgemaakt aardewerk
old_rep_3,0,1,0.860,0.860,0.820,same,Terra sigillata ,Bowl,,,"Het dateert uit het midden van de 4e eeuw en leverde, behalve botresten en een kom van met radstempels versierde terra s",kom van met radstempels versierde terra sigillata
old_rep_3,2,4,0.720,0.740,0.650,same,Terra sigillata ,Terra sigillata,,,"aardewerk, de terra sigillata met radstempelversiering. Daarbij zijn er maar twee die in de vroege 4e eeuw gemaakt zijn","Dat dit laatste geen toeval is
wordt bovendien bewezen door bijna twintig fragmenten vrij goed dateerbaar
aardewerk, de "
old_rep_3,3,,,0.640,0.520,missing,Terra sigillata ,,Hübener Group 3,,"de rest is dateerbaar vanaf het midden van de 4e eeuw (Hubener 1968, groepen 3-6).",
old_rep_3,4,,,0.290,0.800,missing,Pottery,,,,scherven uit de IJzertijd,
old_rep_3,,0,,,,overclaim,,Pottery,,,,"In ieder geval zijn ze te klein om te kunnen
denken dat er aardewerk in gebakken is en ontbreken vondsten die bijvoor-be"
old_rep_3,,3,,,,overclaim,,Pottery,,,,"Dat dit laatste geen toeval is
wordt bovendien bewezen door bijna twintig fragmenten vrij goed dateerbaar
aardewerk, de "
old_rep_4,12,8,0.990,0.860,0.900,same,Coarse ware,Rough-walled pottery,,,ruwwandige,"Hieronder bevonden zich de vol·
gen de soorten : terra sigillata van de typen Dragendorff 18/ 31, 33, 37, gevernist aard"
old_rep_4,6,6,0.980,0.870,0.980,same,Terra rubra,Terra rubra,,,"gevernist aardewerk met en zonder barbotineversiering, terra nigra, terra rubra, gladwandig, ruwwandig, wrijfschaalfragm","Hieronder bevonden zich de vol·
gen de soorten : terra sigillata van de typen Dragendorff 18/ 31, 33, 37, gevernist aard"
old_rep_4,0,0,0.970,0.880,0.960,same,Terra sigillata plate,Terra sigillata plate,Dragendorff 18/31,Dragendorff 18/31,Dragendorff 18,"Hieronder bevonden zich de vol·
gen de soorten : terra sigillata van de typen Dragendorff 18/ 31, 33, 37, gevernist aard"
old_rep_4,1,1,0.970,0.880,0.960,same,Terra sigillata cup,Terra sigillata cup,Dragendorff 33,Dragendorff 33,Dragendorff 33,"Hieronder bevonden zich de vol·
gen de soorten : terra sigillata van de typen Dragendorff 18/ 31, 33, 37, gevernist aard"
old_rep_4,3,4,0.970,0.830,0.960,same,Colour-coated ware with barbotine decoration,Varnished pottery,,,"gevernist aardewerk met en zonder barbotineversiering, terra nigra, terra rubra, gladwandig, ruwwandig, wrijfschaalfragm","Hieronder bevonden zich de vol·
gen de soorten : terra sigillata van de typen Dragendorff 18/ 31, 33, 37, gevernist aard"
old_rep_4,2,2,0.960,0.880,0.950,same,Terra sigillata decorated bowl,Terra sigillata decorated bowl,Dragendorff 37,Dragendorff 37,Dragendorff 37,"Hieronder bevonden zich de vol·
gen de soorten : terra sigillata van de typen Dragendorff 18/ 31, 33, 37, gevernist aard"
old_rep_4,5,5,0.930,0.810,0.930,same,Terra nigra,Terra nigra,,,"gevernist aardewerk met en zonder barbotineversiering, terra nigra, terra rubra, gladwandig, ruwwandig, wrijfschaalfragm","Hieronder bevonden zich de vol·
gen de soorten : terra sigillata van de typen Dragendorff 18/ 31, 33, 37, gevernist aard"
old_rep_4,7,7,0.870,0.810,0.850,same,Smooth-walled ware,Smooth-walled pottery,,,"gevernist aardewerk met en zonder barbotineversiering, terra nigra, terra rubra, gladwandig, ruwwandig, wrijfschaalfragm","Hieronder bevonden zich de vol·
gen de soorten : terra sigillata van de typen Dragendorff 18/ 31, 33, 37, gevernist aard"
old_rep_4,11,10,0.860,0.880,0.840,same,Lid,Lid,,,"gevernist aardewerk met en zonder barbotineversiering, terra nigra, terra rubra, gladwandig, ruwwandig, wrijfschaalfragm","Hieronder bevonden zich de vol·
gen de soorten : terra sigillata van de typen Dragendorff 18/ 31, 33, 37, gevernist aard"
old_rep_4,13,12,0.810,0.820,0.790,same,Terra sigillata,Terra sigillata,,,terra sigillatascherven verspreid,"Over het gehele perceel liggen dakpanfragmenten, ruwwandige en terra
sigillatascherven verspreid."
old_rep_4,4,,,0.830,0.940,missing,Colour-coated ware without barbotine decoration,,,,"gevernist aardewerk met en zonder barbotineversiering, terra nigra, terra rubra, gladwandig, ruwwandig, wrijfschaalfragm",
old_rep_4,8,,,0.740,0.410,missing,Coarse ware,,,,"gevernist aardewerk met en zonder barbotineversiering, terra nigra, terra rubra, gladwandig, ruwwandig, wrijfschaalfragm",
old_rep_4,9,,,0.390,0.370,missing,Mortarium with pouring spout,,,,"gevernist aardewerk met en zonder barbotineversiering, terra nigra, terra rubra, gladwandig, ruwwandig, wrijfschaalfragm",
old_rep_4,10,,,0.470,0.380,missing,Mortarium without pouring spout,,,,"gevernist aardewerk met en zonder barbotineversiering, terra nigra, terra rubra, gladwandig, ruwwandig, wrijfschaalfragm",
