report,gold,out,same,review,missing,overclaim,rejected_pairs,strict_correct,strict_total,strict_pct,lenient_correct,lenient_total,lenient_pct
old_rep_1,2,2,0,0,2,2,0,0,20,0.00,0,20,0.00
old_rep_2,7,6,6,0,1,0,0,28,35,80.00,28,35,80.00
old_rep_3,5,2,2,0,3,0,0,9,25,36.00,9,25,36.00
old_rep_4,14,14,12,0,2,2,0,56,80,70.00,56,80,70.00
old_rep_5,5,5,5,0,0,0,0,25,25,100.00,25,25,100.00
table_1,39,39,38,0,1,1,0,188,200,94.00,188,200,94.00
table_2,13,8,7,0,6,1,1,33,70,47.14,33,70,47.14
table_3,11,11,11,0,0,0,0,55,55,100.00,55,55,100.00
table_4,28,18,18,0,10,0,0,90,140,64.29,90,140,64.29
table_5,11,12,8,0,3,4,0,38,75,50.67,38,75,50.67
ocr_1,1,1,1,0,0,0,0,2,5,40.00,2,5,40.00
ocr_2,8,8,8,0,0,0,0,40,40,100.00,40,40,100.00
ocr_3,1,0,0,0,1,0,0,0,5,0.00,0,5,0.00
ocr_4,9,9,9,0,0,0,0,45,45,100.00,45,45,100.00
ocr_5,2,2,1,0,1,1,0,5,15,33.33,5,15,33.33
new_rep_1,11,10,1,0,10,9,7,4,100,4.00,4,100,4.00
new_rep_2,55,53,50,3,2,0,0,234,290,80.69,249,275,90.55
new_rep_3,6,6,6,0,0,0,0,30,30,100.00,30,30,100.00
new_rep_4,5,3,3,0,2,0,0,15,25,60.00,15,25,60.00
new_rep_5,8,3,2,0,6,1,0,9,45,20.00,9,45,20.00
TOTAL_strict,241,,188,3,50,21,,906,1325,68.38,,,
TOTAL_lenient,241,,188,3,50,21,,921,1310,70.31,,,
