report,gold,out,same,review,missing,overclaim,rejected_pairs,strict_correct,strict_total,strict_pct,lenient_correct,lenient_total,lenient_pct
old_rep_1,2,2,2,0,0,0,0,8,10,80.00,8,10,80.00
old_rep_2,7,7,4,0,3,3,0,15,50,30.00,15,50,30.00
old_rep_3,5,5,3,0,2,2,0,7,35,20.00,7,35,20.00
old_rep_4,14,13,10,0,4,3,0,38,85,44.71,38,85,44.71
old_rep_5,5,5,1,0,4,4,0,2,45,4.44,2,45,4.44
table_1,39,40,12,1,26,27,8,47,335,14.03,51,330,15.45
table_2,13,11,10,0,3,1,1,50,70,71.43,50,70,71.43
table_3,11,11,2,0,9,9,9,8,100,8.00,8,100,8.00
table_4,28,29,13,0,15,16,9,45,220,20.45,45,220,20.45
table_5,11,32,5,0,6,27,1,20,190,10.53,20,190,10.53
ocr_1,1,1,1,0,0,0,0,0,5,0.00,0,5,0.00
ocr_2,8,8,8,0,0,0,0,32,40,80.00,32,40,80.00
ocr_3,1,2,0,0,1,2,0,0,15,0.00,0,15,0.00
ocr_4,9,16,8,1,0,7,0,21,85,24.71,22,80,27.50
ocr_5,2,10,2,0,0,8,0,5,50,10.00,5,50,10.00
new_rep_1,11,29,8,0,3,21,0,24,160,15.00,24,160,15.00
new_rep_2,55,65,32,0,23,33,4,116,440,26.36,116,440,26.36
new_rep_3,6,6,6,0,0,0,0,18,30,60.00,18,30,60.00
new_rep_4,5,8,5,0,0,3,0,19,40,47.50,19,40,47.50
new_rep_5,8,18,6,0,2,12,1,21,100,21.00,21,100,21.00
TOTAL_strict,241,,138,2,101,178,,496,2105,23.56,,,
TOTAL_lenient,241,,138,2,101,178,,501,2095,23.91,,,
